"ID";"LATITUDE";"LIBELLE";"LONGITUDE";"COLLECTIVITE_ID";"QUARTIER_ID"
54;0;"ECOLE EH BARA GUEYE (HANN PECHEUR)";0;10;0
55;0;"ECOLE EH DOUDOU MBATHIE (HANN VILLA";0;10;0
56;0;"ECOLE HANN MONTAGNE";0;10;0
57;0;"ECOLE PUBLIQUE HANN MARISTE EXTENSI";0;10;0
58;0;"ECOLE ALASSANE NDIAYE ALLOU (MED F)";0;11;0
59;0;"ECOLE EH MBAYE D. DEGAYE (MEDINA 3)";0;11;0
60;0;"ECOLE MALICK SY";0;11;0
61;0;"ECOLE MAMOUR DIAKHATE(EX MEDINA 4)";0;11;0
62;0;"ECOLE MOUR DIOP";0;11;0
63;0;"ECOLE NAGO SAMB (GIBRALTAR)";0;11;0
64;0;"STADE IBA MAR DIOP";0;11;0
65;0;"CASE DES TOUT PETITS V.D.N.";0;12;0
66;0;"ECOLE LIBERTE 5";0;12;0
67;0;"ECOLE MASSE MASSAER NIANE1 (BAOBAB)";0;12;0
68;0;"ECOLE NAFISSATOU NIANG";0;12;0
69;0;"ECOLE WORE";0;12;0
70;0;"LYCEE NGALANDOU DIOUF";0;12;0
71;0;"ECOLE ALIEU SAMB";0;13;0
72;0;"ECOLE BAITYR SAMB";0;13;0
73;0;"UNIVERSITE POLYTECHNIQUE OUEST AFRICAIN";0;13;0
74;0;"ECOLE CITE ASECNA";0;14;0
75;0;"ECOLE EH MBAYE DIOP (OUAKAM 2)";0;14;0
76;0;"ECOLE MAMADOU DIAGNE (OUAKAM 1)";0;14;0
77;0;"ECOLE OUAKAM CAMP";0;14;0
78;0;"ECOLE PRIVEE CITE AVION 2";0;14;0
79;0;"ECOLE 6";0;14;0
80;0;"INSTITUTION PRESC. LES PETITS PAS";0;14;0
81;0;"LYCEE OUAKAM";0;14;0
82;0;"C.E.M. UNITE 19";0;15;0
83;0;"ECOLE HLM GRAND MEDINE";0;15;0
84;0;"ECOLE PARCELLES ASSAINIES D (U 10)";0;15;0
85;0;"ECOLE UNITE 11";0;15;0
86;0;"ECOLE UNITE 14";0;15;0
87;0;"ECOLE UNITE 17";0;15;0
88;0;"ECOLE UNITE 19";0;15;0
89;0;"ECOLE UNITE 20";0;15;0
90;0;"ECOLE UNITE 21";0;15;0
91;0;"ECOLE UNITE 22";0;15;0
92;0;"ECOLE UNITE 25";0;15;0
93;0;"ECOLE UNITE 8";0;15;0
94;0;"FOYER SOCIO-EDUCATIF CHEIKH DEMBA DIA";0;15;0
95;0;"ECOLE CITE SOPRIM";0;16;0
96;0;"ECOLE GRAND MEDINE";0;16;0
97;0;"ECOLE PATTE D'OIE BUILDER";0;16;0
98;0;"C.E.S MALICK SY";0;17;0
99;0;"ECOLE ADJA MAME Y. DIAGNE (THIONG)";0;17;0
100;0;"ECOLE BERTHE MAUBERT";0;17;0
101;0;"ECOLE CHEIKH AMADOU MBACKE (KLEBER)";0;17;0
102;0;"ECOLE EH BIBI NDIAYE (FAIDHERBE)";0;17;0
103;0;"ECOLE EH MOUSTAPHA DIOP (FLEURUS)";0;17;0
104;0;"ECOLE IBRAHIMA DIOP (CLEMENCEAU)";0;17;0
105;0;"ECOLE REBEUSS";0;17;0
106;0;"CENTRE SOCIAL LIBERTE 3 A";0;18;0
107;0;"ECOLE LIBERTE 1";0;18;0
108;0;"ECOLE LIBERTE 6 A";0;18;0
109;0;"ECOLE LIBERTE 6 B ET C";0;18;0
110;0;"STADE DEMBA DIOP";0;18;0
111;0;"ECOLE ABABACAR LAYE";0;19;0
112;0;"ECOLE AEROPORT YOFF";0;19;0
113;0;"ECOLE CITE DIAMALAYE";0;19;0
114;0;"ECOLE DIAMALAYE (YOFF 2)";0;19;0
115;0;"ECOLE EH TALLA DIAGNE (YOFF 1)";0;19;0
116;0;"ECOLE ELIMANE THIAW";0;19;0
117;0;"ECOLE JAPONAISE";0;19;0
118;0;"ECOLE KENJIRO";0;19;0
119;0;"ECOLE PRIVEE TATAFA";0;19;0
120;0;"ECOLE TAFSIR NDIAGA GUEYE";0;19;0
121;0;"ECOLE YOFF 4";0;19;0
122;0;"ETAT CIVIL YOFF";0;19;0
123;0;"CEM BANQUE ISLAMIQUE";0;20;0
124;0;"C.E.S. OGO DIOP";0;20;0
125;0;"ECOLE ADOLPHE DIAGNE";0;20;0
126;0;"ECOLE F UNITE 5";0;20;0
127;0;"ECOLE G UNITE 6";0;20;0
128;0;"ECOLE HAMO 2";0;20;0
129;0;"ECOLE MATERNELLE CITE FAYAL";0;20;0
130;0;"ECOLE NDIARKA DIAGNE";0;20;0
131;0;"ECOLE SERIGNE NIANG";0;20;0
132;0;"ECOLE SEYDOU NOUROU TALL";0;20;0
133;0;"ECOLE UNESCO HAMO 3";0;20;0
134;0;"ECOLE Y UNITE 3";0;20;0
135;0;"ECOLE Z UNITE 4";0;20;0
136;0;"LYCEE PARCELLES ASSAINIES GUEDIAWAY";0;20;0
137;0;"ECOLE PRIMAIRE MEDINA GOUNASS";0;21;0
138;0;"HOTEL D'ARRONDISSEMENT";0;21;0
139;0;"POSTE DE SANTE MEDINA GOUNASS";0;21;0
140;0;"ECOLE HAMO 4";0;22;0
141;0;"ECOLE NDIAREME";0;22;0
142;0;"ECOLE 18 GUEDIAWAYE";0;22;0
